term;term.soort;term.status;bron;term.nummer;scope_note
schenking;verwervingsmethode$afstotingsmethode;descriptor;http://vocab.getty.edu/aat/;300138913;""
motoren;trefwoord$motief$objectcategorie$onderwerp;descriptor;http://vocab.getty.edu/aat/;300024609;Ronddraaiende machines die elektrische energie omzetten in mechanische energie. 
jaarboek;materiaalsoort$objectnaam;descriptor;http://vocab.getty.edu/aat/;300026646;""
handweven;trefwoord$onderwerp;descriptor;http://vocab.getty.edu/aat/;300053643;""
's-Hertogenbosch;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7006837;""
ijzer;trefwoord$materiaal$motief$onderwerp;descriptor;http://vocab.getty.edu/aat/;300011002;"Te gebruiken voor het zuivere metaalelement met het symbool Fe en het atoomnummer 26; een glimmend, zilverachtig zacht metaal dat roest wanneer het aan vochtige lucht wordt blootgesteld. Gebruik ook voor dit metaal als het wordt verwerkt en gevormd, meestal in combinatie met andere stoffen, om diverse objecten en materialen te maken."
porselein;trefwoord$materiaal$onderwerp;descriptor;http://vocab.getty.edu/aat/;300010662;""
Meulebeke;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1026607;""
edele metalen;trefwoord;descriptor;http://vocab.getty.edu/aat/;300011054;""
metaal;materiaal$onderwerp;descriptor;http://vocab.getty.edu/aat/;300010900;Alle leden van een grote groep stoffen die meestal een kenmerkende glans vertonen. Het zijn goede geleiders van elektriciteit en warmte, ze zijn ondoorschijnend, kunnen smelten en zijn meestal pletbaar of kneedbaar.
sabel;objectnaam;descriptor;http://vocab.getty.edu/aat/;300030786;""
schuurpapierhouder;objectnaam;niet gedefinieerd;"";"";""
Venetië$plaats;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7018159;""
werktuigbouwkunde;trefwoord;descriptor;http://vocab.getty.edu/aat/;300054504;""
mode;trefwoord$motief$onderwerp;descriptor;http://vocab.getty.edu/aat/$https://www.wikidata.org/entity/;300055811$Q12684;""
koper-nikkel;materiaal;descriptor;http://vocab.getty.edu/aat/;300010951;De term die wordt gebruikt voor de 75-25 en 50-50 cupronikkel platen, staven en kogels die worden gebruikt om nikkel aan messingsoorten toe te voegen.
tapijtkunst;trefwoord$objectnaam$motief;non-descriptor;"";"";""
pootboor;objectnaam;descriptor;https://www.wikidata.org/entity/;Q2010091;De pootboor is ofwel een holle, al dan niet gesloten (1), metalen cilinder van verschillende diameter (ca. 4-18 cm) - soms boven iets wijder dan onder - met bovenaan een ijzeren, houten of plastic handvat, waartussen zich al dan niet een steel (ca. 20-40 cm) bevindt. Bij sommige modellen bestaat de cilinder uit twee helften die langs beide zijden door scharnieren met elkaar zijn verbonden. Langs één zijde heb je de mogelijkheid om een stalen pen uit de scharnier te verwijderen zodat de cilinder opendraait (2). Bij andere modellen, waar de snede door tandjes kan vervangen zijn, bestaat de cilinder uit twee helften die van elkaar verwijderd kunnen worden (3)(zie ook planttang). Aan de buitenzijde van de cilinder kan een maatverdeling aangebracht zijn. [M.O.T.]
linnen;materiaal$objectnaam$onderwerp$motief;descriptor;http://vocab.getty.edu/aat/;300014069;Algemene benaming voor geweven textiel van de gesponnen vezels van de vlasplant.
citruspers;objectnaam;descriptor;http://vocab.getty.edu/aat/;300207687;Persen met een harde en puntige kegel waarop de helft van een stuk fruit wordt gedrukt om het sap eruit te krijgen. 
label;objectnaam$soort opschrift$inscriptie positie;descriptor;http://vocab.getty.edu/aat/;300028730;""
Krefeld;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7005980;""
koffie;trefwoord$motief$objectnaam$materiaal$onderwerp$collectie;descriptor;http://vocab.getty.edu/aat/;300254662;romatische, donkerbruine drank gebrouwen van de geroosterde en gemalen of gestampte zaden van de bessen van bepaalde tropische bomen en planten van het genus Coffea. 
rekenkunde;trefwoord;descriptor;http://vocab.getty.edu/aat/;300054525;""
Frankrijk;geografisch trefwoord$motief$land$plaats;descriptor;http://vocab.getty.edu/tgn/;1000070;""
onderdelen;objectnaam$motief;descriptor;http://vocab.getty.edu/aat/;300241583;""
archeologie;trefwoord;descriptor;http://vocab.getty.edu/aat/;300054328;""
elektrotechniek;trefwoord;descriptor;http://vocab.getty.edu/aat/;300054490;""
alcoholmisbruik;trefwoord;non-descriptor;"";"";""
Sleidinge (Evergem);geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1026740;""
buis;objectnaam$inscriptie positie$onderwerp;descriptor;http://vocab.getty.edu/aat/;300014687;""
MIAT;trefwoord;descriptor;https://www.wikidata.org/entity/;Q2245203;""
schoorsteenloper;objectnaam;niet gedefinieerd;"";"";""
industrie;trefwoord$motief$objectnaam;descriptor;http://vocab.getty.edu/aat/;300055718;""
metaalindustrie;trefwoord$motief$onderwerp;descriptor;https://www.wikidata.org/entity/;Q1924906;""
vervoer;trefwoord$motief$objectnaam;non-descriptor;"";"";""
steenkolenindustrie;trefwoord$onderwerp;descriptor;https://www.wikidata.org/entity/;Q1778629;""
behendigheidstest;objectnaam;niet gedefinieerd;"";"";""
drukken op textiel;trefwoord$onderwerp;non-descriptor;"";"";""
scheepvaart;trefwoord$motief$onderwerp$objectnaam;descriptor;http://vocab.getty.edu/aat/;300068773;Het te water vervoeren naar een andere plaats met behulp van een vaartuig. 
industriële revolutie;trefwoord$motief;descriptor;https://www.wikidata.org/entity/;Q2269;""
Duits;taal;descriptor;https://www.wikidata.org/entity/;Q188;""
middeleeuwen;motief$periode;descriptor;https://www.wikidata.org/entity/;Q12554;""
machinebouw;trefwoord$motief$onderwerp;descriptor;https://www.wikidata.org/entity/;Q108431154;""
Vlaanderen;geografisch trefwoord$motief$plaats;descriptor;http://vocab.getty.edu/tgn/;7018236;""
economie;trefwoord$motief;descriptor;http://vocab.getty.edu/aat/;300054359;""
Wetzlar;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7012774;""
album;materiaalsoort$objectnaam$inscriptie positie;descriptor;http://vocab.getty.edu/aat/;300026690;Wordt gebruikt voor ongepubliceerde reeksen bladen, gebonden of los, waarin materiaal van allerlei aard bevestigd is of kan worden. 
rozenkrans;objectnaam;descriptor;http://vocab.getty.edu/aat/;300262831;""
Overmere;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7249866;""
keuken;motief$objectnaam$onderwerp$associatie;descriptor;http://vocab.getty.edu/aat/;300004514;Ruimten bestemd voor de bereiding van voedsel.
wegen;trefwoord;descriptor;http://vocab.getty.edu/aat/;300008217;""
machineonderdelen;trefwoord$objectcategorie$onderwerp;descriptor;https://www.wikidata.org/entity/;Q839546;""
beerlepel;objectnaam;niet gedefinieerd;"";"";""
textielverven;trefwoord$onderwerp;descriptor;https://www.wikidata.org/entity/;Q1164991;""
tapijtweven;trefwoord$motief$objectnaam;non-descriptor;"";"";""
schema;soort opschrift;descriptor;http://vocab.getty.edu/aat/;300027339;""
brochure;materiaalsoort$objectnaam$onderwerp$soort opschrift;descriptor;http://vocab.getty.edu/aat/;300248280;Kleine stukken drukwerk die de kenmerken of voordelen van een plaats, organisatie, of ander bedrijf beschrijven en die over het algemeen zijn bedoeld als advertentie.
lavabo;objectnaam;descriptor;http://vocab.getty.edu/aat/;300198839;""
Lummen;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1026577;""
mijnbouw;trefwoord$onderwerp;descriptor;http://vocab.getty.edu/aat/;300054710;""
huis;trefwoord$inscriptie positie$onderwerp;descriptor;http://vocab.getty.edu/aat/$https://id.erfgoed.net/thesauri/erfgoedtypes/;300005433$520;""
lucifershouder;objectnaam;descriptor;http://vocab.getty.edu/aat/;300196609;Houders voor het bevatten van lucifers. Wordt vooral gebruikt met betrekking tot houten of metalen houders, die soms van binnen bekleed zijn met onbrandbaar, gipsachtig materiaal en die aan een kant een strijkvlak hebben. Ze worden vaak gemaakt om aan de wand te hangen.
Boom;geografisch trefwoord$plaats$objectnaam;descriptor;http://vocab.getty.edu/tgn/;1026344;""
winkelier;rol$beroep;descriptor;http://vocab.getty.edu/aat/;300025247;Detailhandelaren die een kleine tot middelgrote winkel bezitten en leiden. 
aardrijkskunde;trefwoord$motief;descriptor;https://www.wikidata.org/entity/;Q1071;""
onderwijs;trefwoord$motief$objectnaam$collectie$onderwerp$associatie;non-descriptor;"";"";""
dierkunde;trefwoord;descriptor;http://vocab.getty.edu/aat/;300054472;""
informatie;trefwoord$objectnaam;descriptor;http://vocab.getty.edu/aat/;300311832;""
proefschrift;materiaalsoort$objectnaam;descriptor;http://vocab.getty.edu/aat/;300028029;""
volkskunde;trefwoord;descriptor;http://vocab.getty.edu/aat/;300054316;""
folie;materiaal;descriptor;http://vocab.getty.edu/aat/;300160106;"Zeer dun bladmetaal dat voornamelijk wordt gebruikt om te verpakken en te isoleren, en voor elektronische apparaten; wordt tevens gebruikt als een behandeling voor het versieren van oppervlakken. "
Tongeren;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7008015;""
fonograaf;trefwoord$objectnaam;descriptor;https://www.wikidata.org/entity/;Q116434;""
Amerika;trefwoord$motief;non-descriptor;"";"";""
Tilburg;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7006831;""
limonadefabriek;motief$trefwoord;niet gedefinieerd;"";"";""
suiker;trefwoord$motief$onderwerp;descriptor;http://vocab.getty.edu/aat/;300183931;""
Oudenaarde;trefwoord$motief$geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7007972;""
Ename;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7240376;""
koloniale waren;trefwoord;descriptor;https://www.wikidata.org/entity/;Q473666;""
Jackfield;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;4005398;""
Schotland;geografisch trefwoord$motief$plaats;descriptor;http://vocab.getty.edu/tgn/;7002444;""
Roubaix;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7009485;""
relais;objectnaam;descriptor;http://vocab.getty.edu/aat/$http://www.wikidata.org/entity/;300429880$Q174053;""
Frans;taal;descriptor;https://www.wikidata.org/entity/;Q150;""
Rouen;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7008929;""
passe-vite;objectnaam;descriptor;https://www.wikidata.org/entity/;Q1430265;""
Gouda;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7006805;""
graveur;rol$beroep;descriptor;http://vocab.getty.edu/aat/$http://www.wikidata.org/entity/;300025165$Q329439;""
tekening;objectnaam;descriptor;http://vocab.getty.edu/aat/;300033973;""
arbeiderscultuur;trefwoord;non-descriptor;"";"";""
wederopbouwpolitiek;trefwoord;niet gedefinieerd;"";"";""
Parijs;geografisch trefwoord$motief$plaats;descriptor;http://vocab.getty.edu/tgn/;7008038;""
industriële  bouwkunst;trefwoord;non-descriptor;"";"";""
productie;trefwoord;descriptor;https://www.wikidata.org/entity/;Q739302;""
Rome;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7000874;""
Ninove;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7007963;""
einde 19de eeuw;periode;descriptor;"";"";""
Wenen;trefwoord$geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7003321;""
wonen;trefwoord$motief$onderwerp$collectie$objectnaam;descriptor;http://vocab.getty.edu/aat/;300393179;""
verkeer;trefwoord$motief;descriptor;http://vocab.getty.edu/aat/;300055250;""
textieldruk;trefwoord$onderwerp$techniek;descriptor;http://vocab.getty.edu/aat/;300387187;Het proces van het met een dikke pasta van kleurstoffen of pigment decoreren van textiel. De voornaamste textieldrukmethoden zijn: blokdruk (waarin het ontwerp in reliëf uitsteekt op een vlak oppervlak), stencil- of zeefdruk (waarin het ontwerp door een vlakke metalen plaat of vel papier wordt gesneden) en rollerdruk (waarin drukrollers, een voor elke kleur, tegen de stof worden geduwd). In elk van deze methoden wordt de kleurstof of het pigment eerst aangebracht en vervolgens vastgezet, doorgaans door het textiel te stomen of te verhitten. Daarna wordt overtollige verkleuring weggewassen. 
plantkunde;trefwoord;descriptor;http://vocab.getty.edu/aat/;300054467;""
Gent;trefwoord$plaats$geografisch trefwoord$motief$onderwerp$associatie$objectnaam$rol;descriptor;http://vocab.getty.edu/tgn/;7007887;""
boekdrukkunst;trefwoord;descriptor;https://www.wikidata.org/entity/;Q11034;""
Charleroi;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7007869;""
bokshandschoen;objectnaam;descriptor;https://www.wikidata.org/entity/;Q895679;""
behangpapier;trefwoord$objectnaam$onderwerp;descriptor;http://vocab.getty.edu/aat/;300037366;""
textielarbeider;trefwoord$onderwerp;descriptor;http://vocab.getty.edu/aat/;300025349; In algemene zin, ambachtslieden of fabrieksarbeiders die zich bezighouden met een of alle processen die nodig zijn voor de textielproductie. 
blustoestel;objectnaam;niet gedefinieerd;"";"";""
krantenfoto;objectnaam;descriptor;http://vocab.getty.edu/aat/;300134989;"Foto's in een dag- of weekblad gepubliceerd. 
"
arbeidsfilosofie;trefwoord$motief;non-descriptor;"";"";""
potloodslijper;objectnaam;descriptor;http://vocab.getty.edu/aat/;300022521;""
openluchtmusea;trefwoord;descriptor;http://vocab.getty.edu/aat/;300265641;""
Duitsland;geografisch trefwoord$land$motief$plaats;descriptor;http://vocab.getty.edu/tgn/;7000084;""
Wervik;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;1026806;""
tekenen;trefwoord$associatie;descriptor;http://vocab.getty.edu/aat/;300054196;""
verband;objectnaam;descriptor;http://vocab.getty.edu/aat/;300247524;""
Priester Daens;trefwoord$motief;descriptor;https://www.wikidata.org/entity/;Q2178952;""
Halle;trefwoord$geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7237800;""
Veurne;trefwoord$geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7008852;""
geld;trefwoord$objectcategorie;descriptor;http://vocab.getty.edu/aat/;300037316;""
semafoon;objectnaam;descriptor;http://vocab.getty.edu/aat/$http://www.wikidata.org/entity/;300207457$Q832436;""
aansteker;objectnaam;descriptor;http://vocab.getty.edu/aat/;300265545;Mechanische apparaten bedoeld om sigaretten, sigaren en pijpen aan te steken.
Namen (stad);trefwoord$geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7003466;""
ijzerwaren;trefwoord$objectnaam;descriptor;http://vocab.getty.edu/aat/;300033260;""
zekering;objectnaam$motief$inscriptie positie;descriptor;https://www.wikidata.org/entity/;Q182221;""
confectie-industrie;trefwoord$motief$objectnaam$onderwerp;descriptor;https://www.wikidata.org/entity/;Q11828862;Het stikken van (kleding)stoffen
pantograaf;objectnaam;descriptor;http://vocab.getty.edu/aat/;300022426;Apparaten die bestaan uit vier stroken van hout of een ander materiaal die met scharnieren tot een vierkant zijn gevormd, zo dat ze overlappen en kunnen worden aangepast aan de grootte van het werk dat wordt gekopieerd, vergroot of verkleind. 
Limburg (provincie);trefwoord$geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7003461;""
meetinstrumenten;trefwoord$motief$objectnaam$objectcategorie$onderwerp;descriptor;http://vocab.getty.edu/aat/;300207870;Wordt gebruikt voor instrumenten of houders voor het meten van bijvoorbeeld de omvang, hoeveelheid, massa, plaats of het vermogen, uitgedrukt in een standaardeenheid of een vastgestelde hoeveelheid. 
kolenhandel;motief;niet gedefinieerd;"";"";""
vlasindustrie;trefwoord$motief$onderwerp;non-descriptor;"";"";""
stoom;trefwoord$motief$onderwerp$collectie;descriptor;http://vocab.getty.edu/aat/;300011784;Water in de vorm van een onzichtbaar gas of onzichtbare damp, dat deze vorm heeft gekregen door het te koken. Wordt algemeen gebruikt voor het opwekken van mechanische energie. 
Luxemburg (stad);trefwoord$geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7006254;""
Namen (provincie);trefwoord$geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7003466;""
passementerie;trefwoord$motief$objectcategorie$objectnaam$onderwerp$collectie;descriptor;http://vocab.getty.edu/aat/;300232151;Fraai garneersel dat wordt gebruikt op bekleding en kostuums, zoals tressen, koord, franje, passementkoord of kwasten, vaak in combinaties. 
eiermand;objectnaam;descriptor;http://vocab.getty.edu/aat/;300211954;""
Helmond;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7006840;""
handschrift;soort opschrift$objectnaam;descriptor;http://vocab.getty.edu/aat/;300028569;""
waterzuivering;trefwoord;descriptor;https://www.wikidata.org/entity/;Q1463025;""
haarpoeder;objectnaam;descriptor;"";"";""
vertaler;rol$beroep;descriptor;http://vocab.getty.edu/aat/$http://www.wikidata.org/entity/;300025601$Q333634;""
verdeler;rol$objectnaam$beroep;descriptor;https://www.wikidata.org/entity/;Q1459069;""
juwelen;trefwoord$associatie;descriptor;http://vocab.getty.edu/aat/;300209286;""
parfum;trefwoord$motief$materiaal$objectnaam;descriptor;http://vocab.getty.edu/aat/;300015166;""
bloemen;trefwoord;non-descriptor;"";"";""
Augsburg;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7004324;""
staal;trefwoord$objectnaam$motief$materiaal$onderwerp;descriptor;https://id.erfgoed.net/thesauri/materialen/$http://vocab.getty.edu/aat/$https://www.wikidata.org/entity/;17$300133751$Q11427;Alle harde, sterke, duurzame, plooibare legeringen van ijzer en koolstof, vaak met andere materialen zoals mangaan, chroom, nikkel, molybdeen, koper, wolfraam, kobalt of silicium. Wordt algemeen gebruikt als constructiemateriaal. 
wasteil;objectnaam;descriptor;https://www.wikidata.org/entity/;Q2383211;""
energiesector;trefwoord$motief$collectie;descriptor;https://www.wikidata.org/entity/;Q1304795;""
dagelijks leven;trefwoord$motief;descriptor;https://www.wikidata.org/entity/;Q1129653;""
marmer;materiaal$objectnaam$onderwerp;descriptor;http://vocab.getty.edu/aat/;300011443;""
crisis (economisch);associatie;descriptor;https://www.wikidata.org/entity/;Q290178;""
loodgieterij;trefwoord$motief;descriptor;https://www.wikidata.org/entity/;Q3241671;""
hygiëne;objectcategorie$trefwoord$motief$onderwerp;descriptor;https://www.wikidata.org/entity/;Q162297;""
sociologie;trefwoord;descriptor;http://vocab.getty.edu/aat/;300054453;""
bouwbedrijf;trefwoord$motief;descriptor;http://vocab.getty.edu/aat/;300386352;Zakelijke partnerschappen onder een gezamenlijke naam van twee of meer personen in de bouwindustrie. Dit vakgebied omvat het creëren van nieuwe constructies door de combinatie van onderdelen of elementen.
beroepsvereniging;trefwoord$motief$associatie$onderwerp;descriptor;http://vocab.getty.edu/aat/;300025954;""
steendrukpers;objectnaam$onderwerp;descriptor;http://vocab.getty.edu/aat/;300022767;Drukpersen voor lithografie die afdrukken maken door middel van een schraapijzer onder hoge druk. 
milieu;trefwoord;descriptor;http://vocab.getty.edu/aat/;300055325;""
beugel;objectnaam;descriptor;"";"";""
Luik (stad);geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7007945;""
stadsvernieuwing;trefwoord$motief;descriptor;https://www.wikidata.org/entity/;Q920600;renovatie, sanering van veelal oude stadskernen
boterspaan;objectnaam;descriptor;"";"";""
scheerplank;objectnaam;descriptor;"";"";""
gietvorm;objectnaam$onderwerp;descriptor;http://vocab.getty.edu/aat/;300023108;Houten of metalen houders met het zand dat in de metaalgieterij de gietvorm vormt. 
Coca-cola;trefwoord;descriptor;https://www.wikidata.org/entity/;Q2813;""
Ierland;trefwoord$geografisch trefwoord$plaats$land;descriptor;http://vocab.getty.edu/tgn/;1000078;""
Binche;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7007863;""
papier maken;trefwoord$onderwerp$motief;descriptor;http://vocab.getty.edu/aat/;300054060;Het procedé van het handmatig of machinaal vervaardigen van een vel of papierrol op basis van gematteerde en samengeperste vezels, meestal plantaardig, vaak met toevoeging van appret, vulstof en kleurstof. 
radar;trefwoord$objectnaam$onderwerp;descriptor;http://vocab.getty.edu/aat/;300235030;""
Geel;trefwoord$geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7007884;""
verkoop;trefwoord;descriptor;https://www.wikidata.org/entity/;Q194189;""
hoogtezon;objectnaam;descriptor;http://vocab.getty.edu/aat/$http://www.wikidata.org/entity/;300182284$Q955862;""
telefonie;trefwoord$motief$objectcategorie$onderwerp;descriptor;http://vocab.getty.edu/aat/$http://www.wikidata.org/entity/;300343518$Q944584;""
lood;materiaal$objectnaam;descriptor;http://vocab.getty.edu/aat/;300011022;""
post;trefwoord$motief$onderwerp;descriptor;http://vocab.getty.edu/aat/;300380287;""
Emmerich;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7005163;""
inschrijvingsformulier;objectnaam;descriptor;https://www.wikidata.org/entity/;Q1919219;""
Filmfestival van Vlaanderen Gent;trefwoord;descriptor;https://www.wikidata.org/entity/;Q1427084;""
brouwen;trefwoord$motief$onderwerp;descriptor;https://www.wikidata.org/entity/;Q869095;""
landbouw;motief$onderwerp;descriptor;http://vocab.getty.edu/aat/;300054463;""
rijst;trefwoord$motief;descriptor;https://www.wikidata.org/entity/;Q5090;""
wijn;trefwoord$motief;descriptor;http://vocab.getty.edu/aat/;300379442;""
vrouwenarbeid;trefwoord$motief;descriptor;https://www.wikidata.org/entity/;Q745312;""
veiligheidskledij;trefwoord$onderwerp;descriptor;http://vocab.getty.edu/aat/;300209266;Kledingstukken die worden gedragen ter bescherming tegen vuil of gevaar. 
Moskou;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7012974;""
kompressendoos;objectnaam;descriptor;"";"";""
dakpannen;trefwoord;non-descriptor;"";"";""
recht;trefwoord$motief;descriptor;https://www.wikidata.org/entity/;Q7748;""
politiek;trefwoord$motief$onderwerp;descriptor;http://vocab.getty.edu/aat/;300055537;""
wapens;trefwoord$objectnaam$motief;descriptor;http://vocab.getty.edu/aat/;300036926;""
Düsseldorf;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1003123;""
beroepen;trefwoord;descriptor;http://vocab.getty.edu/aat/;300263369;""
beroepsonderwijs;trefwoord$onderwerp;descriptor;https://www.wikidata.org/entity/;Q828812;""
publicatie;objectnaam;descriptor;http://vocab.getty.edu/aat/;300111999;""
plaatje;soort opschrift$inscriptie positie;niet gedefinieerd;"";"";""
natuurwetenschappen;trefwoord;descriptor;http://vocab.getty.edu/aat/;300233656;""
pleister;objectnaam$materiaal;descriptor;https://www.wikidata.org/entity/;Q216054;""
gewichten;trefwoord$motief;descriptor;http://vocab.getty.edu/aat/;300343371;""
maten;trefwoord$motief;descriptor;http://vocab.getty.edu/aat/;300266037;""
kantoorinrichting;trefwoord$onderwerp;descriptor;"";"";""
beits;materiaal;descriptor;http://vocab.getty.edu/aat/;300014968;"Een oplossing of dispersie van een kleurstof in een medium waardoor het materiaal zoals hout kan binnendringen, maar geen beschermend laagje kan vormen; ook een reagens die in de microscopie wordt gebruikt om minuscule structuren zichtbaar te maken."
arbeidersklasse;trefwoord$motief;descriptor;http://vocab.getty.edu/aat/;300055485;Klasse van personen die in loondienst zijn, vaak voor handenarbeid. 
ijs;motief$trefwoord;descriptor;http://vocab.getty.edu/aat/;300011781;""
liberalisme;trefwoord$motief;descriptor;http://vocab.getty.edu/aat/;300055527;""
verkiezingen;trefwoord$objectnaam$motief$onderwerp;descriptor;http://vocab.getty.edu/aat/;300069260;""
koloniale geschiedenis;trefwoord;descriptor;https://www.wikidata.org/entity/;Q89269073;""
Leopold II, koning;trefwoord;descriptor;https://www.wikidata.org/entity/;Q12967;""
gasmeters;trefwoord$motief;non-descriptor;http://vocab.getty.edu/aat/;300197524;Stroommeters voor het meten en vastleggen van de hoeveelheid gas die door een buis loopt, bijvoorbeeld voor het berekenen van het verbruik van een huishouden. 
verzekeringen;trefwoord$associatie;descriptor;https://www.wikidata.org/entity/;Q43183;""
luierbroekje;objectnaam;descriptor;http://vocab.getty.edu/aat/;300312277;Babykledingstukken die men over de luier aantrekt, meestal driehoekige doeken van flanel, gekookte wol of dicht gebreide wol, gebruikt in westerse landen tot de jaren negentig van de negentiende eeuw, toen er materiaal beschikbaar kwam dat vocht beter tegenhield, zoals met rubber beklede stof. Tegenwoordig wordt de term soms gebruikt voor kleurrijke broekjes gevoerd met plastic of een ander waterdicht materiaal.
schaven;trefwoord$collectie;descriptor;http://vocab.getty.edu/aat/;300053863;""
computers en randapparatuur;trefwoord$objectcategorie$onderwerp;descriptor;http://vocab.getty.edu/aat/;300024521;Apparaten of systemen die een reeks opdrachten kunnen uitvoeren op een nauwkeurig vastgestelde wijze. 
lampenradio;objectnaam;descriptor;"";"";""
kantoormachines;trefwoord$motief$objectcategorie$onderwerp;descriptor;"";"";""
boekhouden;trefwoord;descriptor;http://vocab.getty.edu/aat/;300054345;Het verzamelen van gegevens, meestal in monetaire termen, over economische activiteiten, het verwerken van deze gegevens en het bekendmaken van die gegevens voor gebruik door belanghebbende beleidsvormers. 
Mexico;trefwoord$motief$geografisch trefwoord$plaats$land;descriptor;http://vocab.getty.edu/tgn/;1001893;""
buchnertrechter;objectnaam;descriptor;https://www.wikidata.org/entity/;Q649572;""
Thailand;trefwoord$geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1000142;""
wol;trefwoord$materiaal$objectnaam$motief$onderwerp;descriptor;http://vocab.getty.edu/aat/;300243430;Stof gemaakt van dierenhaar. 
haak;objectnaam;descriptor;http://vocab.getty.edu/aat/;300033537;""
kleurstoffen;trefwoord$motief$objectnaam;non-descriptor;"";"";""
kastelen;trefwoord;descriptor;http://vocab.getty.edu/aat/;300006891;Gebouwen of groepen van gebouwen die hoofdzakelijk zijn bedoeld als versterkte verblijfplaats voor een prins of edelman.
collectebus;objectnaam;descriptor;http://vocab.getty.edu/aat/;300263336;""
Zuid-Korea;trefwoord$geografisch trefwoord$plaats$land;descriptor;http://vocab.getty.edu/tgn/;7000299;""
eetgerei;trefwoord$objectcategorie;descriptor;https://www.wikidata.org/entity/;Q81944;""
manchetknoop;objectnaam;descriptor;http://vocab.getty.edu/aat/$http://www.wikidata.org/entity/;300209299$Q617567;""
poetsmiddelen;trefwoord$objectnaam$materiaal$onderwerp;non-descriptor;"";"";""
bacteriën;trefwoord;descriptor;https://www.wikidata.org/entity/;Q10876;""
mineralogie;trefwoord;descriptor;http://vocab.getty.edu/aat/;300054552;""
beeldende kunst;trefwoord$onderwerp;descriptor;http://vocab.getty.edu/aat/;300411640;""
spel;trefwoord$objectnaam;descriptor;http://vocab.getty.edu/aat/;300069657;""
Beroepsopleidingen;trefwoord;non-descriptor;"";"";""
trein;trefwoord$onderwerp$objectnaam;descriptor;http://vocab.getty.edu/aat/;300212738;""
voedingsproducten;trefwoord$motief$collectie$onderwerp;non-descriptor;"";"";""
tuinen;trefwoord;descriptor;http://vocab.getty.edu/aat/;300008090;""
arbeidsomstandigheden;trefwoord$associatie$motief$onderwerp;descriptor;https://www.wikidata.org/entity/;Q629029;""
molens;trefwoord$motief$objectnaam$onderwerp;descriptor;http://vocab.getty.edu/aat/;300264626;Verwijst naar gebouwen die zijn ontworpen voor en uitgerust met machines die bepaalde taken in de vervaardiging van producten verrichten, waaronder het malen van graan of het draaien van een weefgetouw voor het maken van textiel. Gebruik 'molens (machines)' voor de machines zelf, los van het gebouw. 
hulptoestel;objectnaam;niet gedefinieerd;"";"";""
turbines;trefwoord$onderwerp;descriptor;http://vocab.getty.edu/aat/;300024612;Diverse machines die de kinetische energie van een bewegende vloeistof omzetten in mechanische energie. Worden vaak gebruikt om een elektrische generator aan te drijven. 
compressoren;trefwoord$motief;descriptor;http://vocab.getty.edu/aat/;300024602;""
